"Replicate.Name","Column","Area.Value","Mz.Value","RT.Value","SN.Value","Alignment.ID","Metabolite.Name","Adduct.type","MS.MS.assigned","Reference.RT","Reference.m.z","Comment","S.N.average","Spectrum.reference.file.name"
"171002_Poo_TruePooWeek1_Half3","HILICNeg",7574898,88.987,15.562,17.3985,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Poo_TruePooWeek1_Half4","HILICNeg",6096468,88.987,15.604,19.3653,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Poo_TruePooWeek1Neg_dda1","HILICNeg",15424523,88.987,15.381,51.05481,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Poo_TruePooWeek1Neg_dda2","HILICNeg",7869194,88.987,15.776,263.7369,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Poo_TruePooWeek1Neg_dda3","HILICNeg",12236130,88.987,15.621,39.09328,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Poo_TruePooWeek1Neg_dda4","HILICNeg",8822046,88.987,15.604,30.1582,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Smp_IL1Control_1","HILICNeg",18206444,88.987,15.431,32.36455,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Smp_IL1Control_2","HILICNeg",20979616,88.987,15.565,491.6025,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Smp_IL1Control_3","HILICNeg",8520074,88.987,15.781,15.45604,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Smp_IL1DMB_1","HILICNeg",6978866,88.987,15.798,132.4877,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Smp_IL1DMB_2","HILICNeg",6418628,88.987,15.668,10.51874,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Smp_IL1DMB_3","HILICNeg",7353752,88.987,15.636,11.27034,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Smp_IL1DMBnoBT_1","HILICNeg",7402978,88.987,15.661,12.77984,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Smp_IL1DMBnoBT_2","HILICNeg",7750992,88.987,15.609,11.36922,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Smp_IL1DSW_1","HILICNeg",6620718,88.987,15.58,9.285296,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Smp_IL1DSW_3","HILICNeg",20274634,88.987,15.613,35.51969,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Smp_IL1noBT_1","HILICNeg",7237781,88.987,15.723,203.6119,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Smp_IL1noBT_2","HILICNeg",13372648,88.987,15.768,20.84603,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Smp_IL1noBT_3","HILICNeg",7478430,88.987,15.687,176.5379,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Smp_IL1WBT_1","HILICNeg",20643968,88.987,15.456,43.14262,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Smp_IL1WBT_2","HILICNeg",7656070,88.987,15.699,16.37218,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Smp_IL1WBT_3","HILICNeg",7399888,88.987,15.561,141.5636,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Smp_IT0_1","HILICNeg",7882702,88.987,15.728,13.73048,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Smp_IT0_2","HILICNeg",22477866,88.987,15.678,42.55982,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Smp_IT0_3","HILICNeg",11206792,88.987,15.698,19.53413,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Std_4uMStdinH20_1a","HILICNeg",31746196,88.987,15.103,52.24893,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Std_4uMStdinH20_2","HILICNeg",9784624,88.987,15.455,47.24258,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Std_4uMStdinMatrix_1","HILICNeg",49103492,88.987,15.015,81.05997,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171002_Std_4uMStdinMatrix_2","HILICNeg",11217267,88.987,15.539,32.55792,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Blk_ProcessBlk_1","HILICNeg",8548421,88.987,15.789,32.62729,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Blk_ProcessBlk_2","HILICNeg",7334172,88.987,15.806,28.14115,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Blk_ProcessBlk_3","HILICNeg",5893929,88.987,15.724,26.91208,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Poo_Sept29QC_1","HILICNeg",8838363,88.987,14.988,202.6208,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Poo_TruePooWeek2_Full1","HILICNeg",9928988,88.987,15.146,14.29461,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Poo_TruePooWeek2_Full2","HILICNeg",6882381,88.987,15.945,11.25004,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Poo_TruePooWeek2_Full3","HILICNeg",7461660,88.987,15.932,19.69547,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Poo_TruePooWeek2_Full4","HILICNeg",6682745,88.987,15.898,14.7242,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Poo_TruePooWeek2_Half1","HILICNeg",7958380,88.987,15.127,22.02431,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Poo_TruePooWeek2_Half2","HILICNeg",4763380,88.987,15.869,8.901391,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Poo_TruePooWeek2_Half3","HILICNeg",5869634,88.987,15.886,11.04913,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Poo_TruePooWeek2_Half4","HILICNeg",5225484,88.987,15.856,10.46994,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_DSW700m_1","HILICNeg",9488120,88.987,15.344,24.36616,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_DSW700m_2","HILICNeg",7269676,88.987,15.978,11.75685,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_DSW700m_3","HILICNeg",5477904,88.987,15.981,14.61128,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IL1Control5um_1","HILICNeg",15184686,88.987,15.806,207.0193,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IL1Control5um_2","HILICNeg",13888544,88.987,15.603,26.5201,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IL1Control5um_3","HILICNeg",5388702,88.987,16.033,225.3107,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IL1DMB5um_1","HILICNeg",4994960,88.987,15.979,13.67787,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IL1DMB5um_2","HILICNeg",5588818,88.987,15.948,158.713,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IL1DMB5um_3","HILICNeg",5984873,88.987,15.917,11.63309,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IL1DMBnoBT5um_1","HILICNeg",6974040,88.987,15.933,251.6016,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IL1DMBnoBT5um_2","HILICNeg",6752554,88.987,15.888,14.80902,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IL1DMBnoBT5um_3","HILICNeg",7999792,88.987,15.997,150.8716,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IL1DSW5um_1","HILICNeg",7493795,88.987,15.963,13.71268,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IL1DSW5um_2","HILICNeg",10292007,88.987,15.882,17.41913,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IL1DSW5um_3","HILICNeg",18213772,88.987,15.67,31.81024,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IL1noBT5um_1","HILICNeg",20069850,88.987,15.919,42.98551,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IL1noBT5um_2","HILICNeg",6514078,88.987,16.02,15.5853,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IL1noBT5um_3","HILICNeg",8324156,88.987,15.903,15.13961,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IL1WBT5um_1","HILICNeg",14079827,88.987,15.458,16.68803,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IL1WBT5um_2","HILICNeg",5503496,88.987,16.011,12.27027,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IL1WBT5um_3","HILICNeg",5677822,88.987,15.893,11.63013,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IT05um_1","HILICNeg",5333927,88.987,15.923,147.544,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IT05um_2","HILICNeg",6926602,88.987,16.014,12.46268,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Smp_IT05um_3","HILICNeg",5094093,88.987,15.892,14.82653,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Std_4uMStdinH20_1","HILICNeg",16888816,88.987,14.981,65.61597,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Std_4uMStdinH20_2","HILICNeg",8755646,88.987,15.606,27.79598,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Std_4uMStdinMatrix_1","HILICNeg",17882022,88.987,14.919,39.91957,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171009_Std_4uMStdinMatrix_2","HILICNeg",10050202,88.987,15.695,34.8825,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Blk_ProcessBlk_1","HILICNeg",6308779,88.987,15.486,35.50241,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Blk_ProcessBlk_2","HILICNeg",5421594,88.987,15.431,19.58686,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Blk_ProcessBlk_3","HILICNeg",3728914,88.987,15.401,19.23998,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Poo_Sept29QC_1","HILICNeg",5716540,88.987,14.732,194.8591,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Poo_TruePooWeek3_Full1","HILICNeg",5915484,88.987,15.119,17.80094,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Poo_TruePooWeek3_Full2","HILICNeg",4486271,88.987,15.612,10.76982,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Poo_TruePooWeek3_Full3","HILICNeg",5043754,88.987,15.634,11.04978,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Poo_TruePooWeek3_Full4","HILICNeg",3800200,88.987,15.471,99.09379,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Poo_TruePooWeek3_Half1","HILICNeg",4505500,88.987,15.15,10.65132,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Poo_TruePooWeek3_Half2","HILICNeg",2974861,88.987,15.539,9.056332,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Poo_TruePooWeek3_Half3","HILICNeg",3039103,88.987,15.564,142.3439,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Poo_TruePooWeek3_Half4","HILICNeg",2613404,88.987,15.444,173.7691,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Poo_TruePooWeek3Neg_dda1","HILICNeg",8246618,88.987,15.298,26.18381,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Poo_TruePooWeek3Neg_dda2","HILICNeg",4218606,88.987,15.605,13.92054,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Poo_TruePooWeek3Neg_dda3","HILICNeg",4044758,88.987,15.597,13.14086,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Poo_TruePooWeek3Neg_dda4","HILICNeg",4326988,88.987,15.441,13.19017,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_DSW700m_1","HILICNeg",5117296,88.987,15.52,12.40273,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_DSW700m_2","HILICNeg",5224300,88.987,15.451,16.72413,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_DSW700m_3","HILICNeg",4780916,88.987,15.445,198.1654,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IL2Control_1","HILICNeg",3344243,88.987,15.528,187.6855,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IL2Control_2","HILICNeg",4238260,88.987,15.611,12.3514,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IL2Control_3","HILICNeg",7397022,88.987,15.642,20.18558,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IL2DMB_1","HILICNeg",10563946,88.987,15.487,30.39497,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IL2DMB_2","HILICNeg",3648082,88.987,15.58,7.177813,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IL2DMB_3","HILICNeg",3362845,88.987,15.448,110.388,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IL2DMBnoBT_1","HILICNeg",2854709,88.987,15.477,153.7749,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IL2DMBnoBT_2","HILICNeg",10818707,88.987,15.426,32.58471,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IL2DMBnoBT_3","HILICNeg",3223000,88.987,15.451,156.6248,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IL2DSW_1","HILICNeg",4088086,88.987,15.574,161.8856,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IL2DSW_2","HILICNeg",4421764,88.987,15.424,8.784647,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IL2DSW_3","HILICNeg",3006431,88.987,15.577,183.6639,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IL2noBT_1","HILICNeg",3852946,88.987,15.562,210.6415,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IL2noBT_2","HILICNeg",10284293,88.987,15.325,319.9237,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IL2noBT_3","HILICNeg",3116568,88.987,15.585,8.298393,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IL2WBT_1","HILICNeg",5345647,88.987,15.729,15.49067,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IL2WBT_2","HILICNeg",5588390,88.987,15.615,19.512,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IL2WBT_3","HILICNeg",3121579,88.987,15.546,164.6814,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IT0_1","HILICNeg",4634468,88.987,15.538,9.870784,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IT0_2","HILICNeg",5114588,88.987,15.65,12.94587,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Smp_IT0_3","HILICNeg",5226318,88.987,15.642,15.14981,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Std_4uMStdinH20_1","HILICNeg",5722858,88.987,15.274,35.13058,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Std_4uMStdinH20_2","HILICNeg",6763596,88.987,15.256,21.13097,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Std_4uMStdinMatrix_1","HILICNeg",6201344,88.987,15.14,29.9877,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171016_Std_4uMStdinMatrix_2","HILICNeg",7281972,88.987,15.331,22.52253,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
"171023_Blk_ProcessBlk_1","HILICNeg",4231734,88.987,16.107,186.0094,"32","Oxalic Acid","[M-H2O-H]-","TRUE","14.494","88.98681","G;","68.87","171002_Poo_TruePooWeek1Neg_dda1"
