"","Mass.Feature","Replicate.Name","Adjusted.Area"
"21","2-Hydroxy-4-(methylthio)butyric","171016_Smp_IL2IT0_3",211936.677419355
"22","4-Hydroxyisoleucine","171016_Smp_IL2Control_1",20748128.5806452
"23","4-Hydroxyisoleucine","171016_Smp_IL2Control_2",36968305.6774193
"24","4-Hydroxyisoleucine","171016_Smp_IL2Control_3",34411377.5483871
"25","4-Hydroxyisoleucine","171016_Smp_IL2DMB_1",40938895.8709677
"26","4-Hydroxyisoleucine","171016_Smp_IL2DMB_2",36520336.1290323
"27","4-Hydroxyisoleucine","171016_Smp_IL2DMB_3",44319502.5806452
"28","4-Hydroxyisoleucine","171016_Smp_IL2DMBnoBT_1",49632792.7741935
"29","4-Hydroxyisoleucine","171016_Smp_IL2DMBnoBT_2",49722625.4193548
"30","4-Hydroxyisoleucine","171016_Smp_IL2DMBnoBT_3",39249774.9677419
"31","4-Hydroxyisoleucine","171016_Smp_IL2DSW_1",38257593.2903226
"32","4-Hydroxyisoleucine","171016_Smp_IL2DSW_2",37420728.1290323
"33","4-Hydroxyisoleucine","171016_Smp_IL2DSW_3",36922002.9677419
"34","4-Hydroxyisoleucine","171016_Smp_IL2noBT_1",52718078.4516129
"35","4-Hydroxyisoleucine","171016_Smp_IL2noBT_2",56934259.3548387
"36","4-Hydroxyisoleucine","171016_Smp_IL2noBT_3",28253727.0967742
"37","4-Hydroxyisoleucine","171016_Smp_IL2WBT_1",31543827.6129032
"38","4-Hydroxyisoleucine","171016_Smp_IL2WBT_2",37839095.2258065
"39","4-Hydroxyisoleucine","171016_Smp_IL2WBT_3",30825435.8709677
"40","4-Hydroxyisoleucine","171016_Smp_IL2IT0_1",50154006.9677419
"41","4-Hydroxyisoleucine","171016_Smp_IL2IT0_2",55667434.5806452
"42","4-Hydroxyisoleucine","171016_Smp_IL2IT0_3",57334601.5483871
"43","Acetyl-L-carnitine","171016_Smp_IL2Control_1",5748032
"44","Acetyl-L-carnitine","171016_Smp_IL2Control_2",3894497
"45","Acetyl-L-carnitine","171016_Smp_IL2Control_3",5873555.22580645
"46","Acetyl-L-carnitine","171016_Smp_IL2DMB_1",3131212.32258064
"47","Acetyl-L-carnitine","171016_Smp_IL2DMB_2",4723224.38709677
"48","Acetyl-L-carnitine","171016_Smp_IL2DMB_3",3940442.35483871
"49","Acetyl-L-carnitine","171016_Smp_IL2DMBnoBT_1",4531240.64516129
"50","Acetyl-L-carnitine","171016_Smp_IL2DMBnoBT_2",5933727.41935484
"51","Acetyl-L-carnitine","171016_Smp_IL2DMBnoBT_3",4609396.58064516
"52","Acetyl-L-carnitine","171016_Smp_IL2DSW_1",7276865.22580645
"53","Acetyl-L-carnitine","171016_Smp_IL2DSW_2",8307408.29032258
"54","Acetyl-L-carnitine","171016_Smp_IL2DSW_3",11802347.9677419
"55","Acetyl-L-carnitine","171016_Smp_IL2noBT_1",5502209.29032258
"56","Acetyl-L-carnitine","171016_Smp_IL2noBT_2",5227699.96774194
"57","Acetyl-L-carnitine","171016_Smp_IL2noBT_3",5036210.16129032
"58","Acetyl-L-carnitine","171016_Smp_IL2WBT_1",9337531.32258064
"59","Acetyl-L-carnitine","171016_Smp_IL2WBT_2",4820720.51612903
"60","Acetyl-L-carnitine","171016_Smp_IL2WBT_3",5570140.38709677
"61","Acetyl-L-carnitine","171016_Smp_IL2IT0_1",3353054.83870968
"62","Acetyl-L-carnitine","171016_Smp_IL2IT0_2",2632326.25806452
"63","Acetyl-L-carnitine","171016_Smp_IL2IT0_3",2439978.61290323
"64","Aconitic Acid","171016_Smp_IL2Control_1",6692.45161290323
"65","Aconitic Acid","171016_Smp_IL2Control_2",NA
"66","Aconitic Acid","171016_Smp_IL2Control_3",41840.4516129032
"67","Aconitic Acid","171016_Smp_IL2DMB_1",87293.7419354839
"68","Aconitic Acid","171016_Smp_IL2DMB_2",15533.7096774194
"69","Aconitic Acid","171016_Smp_IL2DMB_3",6907.61290322581
"70","Aconitic Acid","171016_Smp_IL2DMBnoBT_1",17244.7096774194
"71","Aconitic Acid","171016_Smp_IL2DMBnoBT_2",116950.451612903
"72","Aconitic Acid","171016_Smp_IL2DMBnoBT_3",16723.6451612903
"73","Aconitic Acid","171016_Smp_IL2DSW_1",110960.548387097
"74","Aconitic Acid","171016_Smp_IL2DSW_2",26988.7096774194
"75","Aconitic Acid","171016_Smp_IL2DSW_3",6742.03225806452
"76","Aconitic Acid","171016_Smp_IL2noBT_1",15776.935483871
"77","Aconitic Acid","171016_Smp_IL2noBT_2",103782.580645161
"78","Aconitic Acid","171016_Smp_IL2noBT_3",12971.4193548387
"79","Aconitic Acid","171016_Smp_IL2WBT_1",10092.935483871
"80","Aconitic Acid","171016_Smp_IL2WBT_2",17538.4516129032
"81","Aconitic Acid","171016_Smp_IL2WBT_3",12565.4193548387
"82","Aconitic Acid","171016_Smp_IL2IT0_1",12396.0967741935
"83","Aconitic Acid","171016_Smp_IL2IT0_2",6845.87096774193
"84","Aconitic Acid","171016_Smp_IL2IT0_3",NA
"85","Adenine","171016_Smp_IL2Control_1",43748561.8064516
"86","Adenine","171016_Smp_IL2Control_2",80468848.2580645
"87","Adenine","171016_Smp_IL2Control_3",78244761.5483871
"88","Adenine","171016_Smp_IL2DMB_1",67648917.4193548
"89","Adenine","171016_Smp_IL2DMB_2",63876747.0967742
"90","Adenine","171016_Smp_IL2DMB_3",68337957.4193548
"91","Adenine","171016_Smp_IL2DMBnoBT_1",75151685.1612903
"92","Adenine","171016_Smp_IL2DMBnoBT_2",136107425.032258
"93","Adenine","171016_Smp_IL2DMBnoBT_3",130171577.806452
"94","Adenine","171016_Smp_IL2DSW_1",106842421.16129
"95","Adenine","171016_Smp_IL2DSW_2",131079131.870968
"96","Adenine","171016_Smp_IL2DSW_3",130863985.548387
"97","Adenine","171016_Smp_IL2noBT_1",128280253.935484
"98","Adenine","171016_Smp_IL2noBT_2",130118172.903226
"99","Adenine","171016_Smp_IL2noBT_3",94940634.0645161
"100","Adenine","171016_Smp_IL2WBT_1",76906712.7741935
"101","Adenine","171016_Smp_IL2WBT_2",102663981.419355
"102","Adenine","171016_Smp_IL2WBT_3",85211541.9354839
"103","Adenine","171016_Smp_IL2IT0_1",56030387.3548387
"104","Adenine","171016_Smp_IL2IT0_2",88051528.7741935
"105","Adenine","171016_Smp_IL2IT0_3",80001330.8387097
"106","Adenosine","171016_Smp_IL2Control_1",3217563.09677419
"107","Adenosine","171016_Smp_IL2Control_2",6941131.29032258
"108","Adenosine","171016_Smp_IL2Control_3",10967817.7741935
"109","Adenosine","171016_Smp_IL2DMB_1",5391880.19354839
"110","Adenosine","171016_Smp_IL2DMB_2",8303107.87096774
"111","Adenosine","171016_Smp_IL2DMB_3",5124285.03225806
"112","Adenosine","171016_Smp_IL2DMBnoBT_1",7956859.09677419
"113","Adenosine","171016_Smp_IL2DMBnoBT_2",23399785.6774194
"114","Adenosine","171016_Smp_IL2DMBnoBT_3",18587037.3548387
"115","Adenosine","171016_Smp_IL2DSW_1",9590585.32258064
"116","Adenosine","171016_Smp_IL2DSW_2",28176740.516129
"117","Adenosine","171016_Smp_IL2DSW_3",21771596.5806452
"118","Adenosine","171016_Smp_IL2noBT_1",9054887.03225806
"119","Adenosine","171016_Smp_IL2noBT_2",24700718.1935484
"120","Adenosine","171016_Smp_IL2noBT_3",8928936.29032258
"121","Adenosine","171016_Smp_IL2WBT_1",7855945.64516129
"122","Adenosine","171016_Smp_IL2WBT_2",8974639.35483871
"123","Adenosine","171016_Smp_IL2WBT_3",7503213.96774194
"124","Adenosine","171016_Smp_IL2IT0_1",2626159.5483871
"125","Adenosine","171016_Smp_IL2IT0_2",3003747.96774194
"126","Adenosine","171016_Smp_IL2IT0_3",2631866
"127","Adenosyl Methionine","171016_Smp_IL2Control_1",NA
"128","Adenosyl Methionine","171016_Smp_IL2Control_2",21456.2580645161
"129","Adenosyl Methionine","171016_Smp_IL2Control_3",103244.677419355
"130","Adenosyl Methionine","171016_Smp_IL2DMB_1",83441.4193548387
"131","Adenosyl Methionine","171016_Smp_IL2DMB_2",9442.77419354839
"132","Adenosyl Methionine","171016_Smp_IL2DMB_3",7482
"133","Adenosyl Methionine","171016_Smp_IL2DMBnoBT_1",55760.4516129032
"134","Adenosyl Methionine","171016_Smp_IL2DMBnoBT_2",290591.225806452
"135","Adenosyl Methionine","171016_Smp_IL2DMBnoBT_3",97366.0967741935
"136","Adenosyl Methionine","171016_Smp_IL2DSW_1",30797.064516129
"137","Adenosyl Methionine","171016_Smp_IL2DSW_2",102960.290322581
"138","Adenosyl Methionine","171016_Smp_IL2DSW_3",95744.9032258064
"139","Adenosyl Methionine","171016_Smp_IL2noBT_1",137329.967741935
"140","Adenosyl Methionine","171016_Smp_IL2noBT_2",240427.774193548
"141","Adenosyl Methionine","171016_Smp_IL2noBT_3",8932
"142","Adenosyl Methionine","171016_Smp_IL2WBT_1",20248.5483870968
"143","Adenosyl Methionine","171016_Smp_IL2WBT_2",18698.4516129032
"144","Adenosyl Methionine","171016_Smp_IL2WBT_3",8862.77419354839
"145","Adenosyl Methionine","171016_Smp_IL2IT0_1",25698.6774193548
"146","Adenosyl Methionine","171016_Smp_IL2IT0_2",37646.6774193548
"147","Adenosyl Methionine","171016_Smp_IL2IT0_3",9403.48387096774
"148","Alanine","171016_Smp_IL2Control_1",689223.985242687
"149","Alanine","171016_Smp_IL2Control_2",795116.39748407
"150","Alanine","171016_Smp_IL2Control_3",967175.963196775
"151","Alanine","171016_Smp_IL2DMB_1",982083.299553166
"152","Alanine","171016_Smp_IL2DMB_2",903858.416324775
"153","Alanine","171016_Smp_IL2DMB_3",1026566.29804388
"154","Alanine","171016_Smp_IL2DMBnoBT_1",1157077.67349455
"155","Alanine","171016_Smp_IL2DMBnoBT_2",2039331.85048421
"156","Alanine","171016_Smp_IL2DMBnoBT_3",1156107.59338453
"157","Alanine","171016_Smp_IL2DSW_1",947181.863599467
"158","Alanine","171016_Smp_IL2DSW_2",1078093.2345419
"159","Alanine","171016_Smp_IL2DSW_3",1718492.39683048
"160","Alanine","171016_Smp_IL2noBT_1",2041816.10793841
"161","Alanine","171016_Smp_IL2noBT_2",1982354.87425038
"162","Alanine","171016_Smp_IL2noBT_3",1155671.63622787
"163","Alanine","171016_Smp_IL2WBT_1",687362.405736859
"164","Alanine","171016_Smp_IL2WBT_2",878081.705809935
"165","Alanine","171016_Smp_IL2WBT_3",730977.700317365
"166","Alanine","171016_Smp_IL2IT0_1",670019.587229223
"167","Alanine","171016_Smp_IL2IT0_2",663697.867881022
"168","Alanine","171016_Smp_IL2IT0_3",668391.521679259
"169","Allopurinol","171016_Smp_IL2Control_1",523703.516129032
"170","Allopurinol","171016_Smp_IL2Control_2",619452.161290323
"171","Allopurinol","171016_Smp_IL2Control_3",1404821.74193548
"172","Allopurinol","171016_Smp_IL2DMB_1",686002.483870968
"173","Allopurinol","171016_Smp_IL2DMB_2",780709
"174","Allopurinol","171016_Smp_IL2DMB_3",629766.806451613
"175","Allopurinol","171016_Smp_IL2DMBnoBT_1",1175166.06451613
"176","Allopurinol","171016_Smp_IL2DMBnoBT_2",3726202.51612903
"177","Allopurinol","171016_Smp_IL2DMBnoBT_3",2151726.09677419
"178","Allopurinol","171016_Smp_IL2DSW_1",2654998.64516129
"179","Allopurinol","171016_Smp_IL2DSW_2",4159971.41935484
"180","Allopurinol","171016_Smp_IL2DSW_3",4718840.70967742
"181","Allopurinol","171016_Smp_IL2noBT_1",2026016.70967742
"182","Allopurinol","171016_Smp_IL2noBT_2",3118314.80645161
"183","Allopurinol","171016_Smp_IL2noBT_3",2524825.12903226
"184","Allopurinol","171016_Smp_IL2WBT_1",869255.35483871
"185","Allopurinol","171016_Smp_IL2WBT_2",1003845.29032258
"186","Allopurinol","171016_Smp_IL2WBT_3",1206010.83870968
"187","Allopurinol","171016_Smp_IL2IT0_1",761779.483870968
"188","Allopurinol","171016_Smp_IL2IT0_2",813722.225806452
"189","Allopurinol","171016_Smp_IL2IT0_3",512485.193548387
"190","Amino Propanesulfonic Acid","171016_Smp_IL2Control_1",7479398.74789303
"191","Amino Propanesulfonic Acid","171016_Smp_IL2Control_2",4916363.88968794
"192","Amino Propanesulfonic Acid","171016_Smp_IL2Control_3",18768770.5014593
"193","Amino Propanesulfonic Acid","171016_Smp_IL2DMB_1",14724129.5027522
"194","Amino Propanesulfonic Acid","171016_Smp_IL2DMB_2",4827274.85013912
"195","Amino Propanesulfonic Acid","171016_Smp_IL2DMB_3",5119347.4728035
"196","Amino Propanesulfonic Acid","171016_Smp_IL2DMBnoBT_1",5629759.49538017
"197","Amino Propanesulfonic Acid","171016_Smp_IL2DMBnoBT_2",10818760.2480002
"198","Amino Propanesulfonic Acid","171016_Smp_IL2DMBnoBT_3",6418643.03205265
"199","Amino Propanesulfonic Acid","171016_Smp_IL2DSW_1",9342377.39410765
"200","Amino Propanesulfonic Acid","171016_Smp_IL2DSW_2",6562509.76356228
"201","Amino Propanesulfonic Acid","171016_Smp_IL2DSW_3",4936791.55983357
"202","Amino Propanesulfonic Acid","171016_Smp_IL2noBT_1",5114195.6911624
"203","Amino Propanesulfonic Acid","171016_Smp_IL2noBT_2",10546071.6430254
"204","Amino Propanesulfonic Acid","171016_Smp_IL2noBT_3",10964952.623775
"205","Amino Propanesulfonic Acid","171016_Smp_IL2WBT_1",14559991.5923659
"206","Amino Propanesulfonic Acid","171016_Smp_IL2WBT_2",7871871.19179742
"207","Amino Propanesulfonic Acid","171016_Smp_IL2WBT_3",5747862.38493305
"208","Amino Propanesulfonic Acid","171016_Smp_IL2IT0_1",4615325.93367943
"209","Amino Propanesulfonic Acid","171016_Smp_IL2IT0_2",10515658.4637811
"210","Amino Propanesulfonic Acid","171016_Smp_IL2IT0_3",10390083.4157236
"211","Aminobutyric Acid","171016_Smp_IL2Control_1",15348917.6038575
"212","Aminobutyric Acid","171016_Smp_IL2Control_2",14912127.5575458
"213","Aminobutyric Acid","171016_Smp_IL2Control_3",17588312.2006713
"214","Aminobutyric Acid","171016_Smp_IL2DMB_1",18503304.5344667
"215","Aminobutyric Acid","171016_Smp_IL2DMB_2",14872487.0091426
"216","Aminobutyric Acid","171016_Smp_IL2DMB_3",15119515.7606687
"217","Aminobutyric Acid","171016_Smp_IL2DMBnoBT_1",16136582.0712071
"218","Aminobutyric Acid","171016_Smp_IL2DMBnoBT_2",19460015.2158096
"219","Aminobutyric Acid","171016_Smp_IL2DMBnoBT_3",19794008.8445395
"220","Aminobutyric Acid","171016_Smp_IL2DSW_1",16357745.7112294
"221","Aminobutyric Acid","171016_Smp_IL2DSW_2",15941762.4744346
"222","Aminobutyric Acid","171016_Smp_IL2DSW_3",15094261.4679797
"223","Aminobutyric Acid","171016_Smp_IL2noBT_1",16192139.4117787
"224","Aminobutyric Acid","171016_Smp_IL2noBT_2",17304609.2441299
"225","Aminobutyric Acid","171016_Smp_IL2noBT_3",17613730.571618
"226","Aminobutyric Acid","171016_Smp_IL2WBT_1",17210947.4314653
"227","Aminobutyric Acid","171016_Smp_IL2WBT_2",15459974.2941987
"228","Aminobutyric Acid","171016_Smp_IL2WBT_3",14369599.220486
"229","Aminobutyric Acid","171016_Smp_IL2IT0_1",16686864.2674384
"230","Aminobutyric Acid","171016_Smp_IL2IT0_2",17113828.3296967
"231","Aminobutyric Acid","171016_Smp_IL2IT0_3",17137768.6295393
"232","AMP","171016_Smp_IL2Control_1",165501.884435218
"233","AMP","171016_Smp_IL2Control_2",266964.941618284
"234","AMP","171016_Smp_IL2Control_3",235887.798395152
"235","AMP","171016_Smp_IL2DMB_1",165816.277171881
"236","AMP","171016_Smp_IL2DMB_2",149511.954225155
"237","AMP","171016_Smp_IL2DMB_3",195471.624598953
"238","AMP","171016_Smp_IL2DMBnoBT_1",434640.089721009
"239","AMP","171016_Smp_IL2DMBnoBT_2",1075866.20273318
"240","AMP","171016_Smp_IL2DMBnoBT_3",747817.072059937
"241","AMP","171016_Smp_IL2DSW_1",654235.438614267
"242","AMP","171016_Smp_IL2DSW_2",602095.212477778
"243","AMP","171016_Smp_IL2DSW_3",907879.901071054
"244","AMP","171016_Smp_IL2noBT_1",702805.500945979
"245","AMP","171016_Smp_IL2noBT_2",918469.500275172
"246","AMP","171016_Smp_IL2noBT_3",474313.335406132
"247","AMP","171016_Smp_IL2WBT_1",191694.581659986
"248","AMP","171016_Smp_IL2WBT_2",441456.429109958
"249","AMP","171016_Smp_IL2WBT_3",307444.545758143
"250","AMP","171016_Smp_IL2IT0_1",262146.214819731
"251","AMP","171016_Smp_IL2IT0_2",230728.166323668
"252","AMP","171016_Smp_IL2IT0_3",232215.456835302
"253","Arginine","171016_Smp_IL2Control_1",326266.539720794
"254","Arginine","171016_Smp_IL2Control_2",801146.969643996
"255","Arginine","171016_Smp_IL2Control_3",1112051.27374726
"256","Arginine","171016_Smp_IL2DMB_1",1196894.3205944
"257","Arginine","171016_Smp_IL2DMB_2",776244.566799488
"258","Arginine","171016_Smp_IL2DMB_3",837384.378673736
"259","Arginine","171016_Smp_IL2DMBnoBT_1",2391023.84524279
"260","Arginine","171016_Smp_IL2DMBnoBT_2",4940195.01876466
"261","Arginine","171016_Smp_IL2DMBnoBT_3",2919508.63773882
"262","Arginine","171016_Smp_IL2DSW_1",2898734.27579619
"263","Arginine","171016_Smp_IL2DSW_2",2942794.47091167
"264","Arginine","171016_Smp_IL2DSW_3",4262426.25207174
"265","Arginine","171016_Smp_IL2noBT_1",3191921.9735799
"266","Arginine","171016_Smp_IL2noBT_2",4199099.4023854
"267","Arginine","171016_Smp_IL2noBT_3",1942721.10672949
"268","Arginine","171016_Smp_IL2WBT_1",962774.317471689
"269","Arginine","171016_Smp_IL2WBT_2",1384106.24456736
"270","Arginine","171016_Smp_IL2WBT_3",958308.534170994
"271","Arginine","171016_Smp_IL2IT0_1",1004313.9696175
"272","Arginine","171016_Smp_IL2IT0_2",627033.123819613
"273","Arginine","171016_Smp_IL2IT0_3",736555.255612067
"274","Arsenobetaine","171016_Smp_IL2Control_1",5840444.70967742
"275","Arsenobetaine","171016_Smp_IL2Control_2",9931113.61290323
"276","Arsenobetaine","171016_Smp_IL2Control_3",10505917.9354839
"277","Arsenobetaine","171016_Smp_IL2DMB_1",10802610.3870968
"278","Arsenobetaine","171016_Smp_IL2DMB_2",10178383.516129
"279","Arsenobetaine","171016_Smp_IL2DMB_3",12510056.483871
"280","Arsenobetaine","171016_Smp_IL2DMBnoBT_1",12353646.3870968
"281","Arsenobetaine","171016_Smp_IL2DMBnoBT_2",12380337.6129032
"282","Arsenobetaine","171016_Smp_IL2DMBnoBT_3",11821386.9354839
"283","Arsenobetaine","171016_Smp_IL2DSW_1",11382601.0322581
"284","Arsenobetaine","171016_Smp_IL2DSW_2",10929607.9354839
"285","Arsenobetaine","171016_Smp_IL2DSW_3",9483554.74193548
"286","Arsenobetaine","171016_Smp_IL2noBT_1",14382701.5483871
"287","Arsenobetaine","171016_Smp_IL2noBT_2",14358058.0967742
"288","Arsenobetaine","171016_Smp_IL2noBT_3",7927802.96774193
"289","Arsenobetaine","171016_Smp_IL2WBT_1",9223776.48387097
"290","Arsenobetaine","171016_Smp_IL2WBT_2",9807890.74193548
"291","Arsenobetaine","171016_Smp_IL2WBT_3",10166855.5483871
"292","Arsenobetaine","171016_Smp_IL2IT0_1",11553150.0322581
"293","Arsenobetaine","171016_Smp_IL2IT0_2",13660217.0645161
"294","Arsenobetaine","171016_Smp_IL2IT0_3",13442549.6129032
"295","Asparagine","171016_Smp_IL2Control_1",45295.1935483871
"296","Asparagine","171016_Smp_IL2Control_2",37339.8387096774
"297","Asparagine","171016_Smp_IL2Control_3",317236.612903226
"298","Asparagine","171016_Smp_IL2DMB_1",276519.677419355
"299","Asparagine","171016_Smp_IL2DMB_2",9671.96774193548
"300","Asparagine","171016_Smp_IL2DMB_3",189312.935483871
"301","Asparagine","171016_Smp_IL2DMBnoBT_1",184343.64516129
"302","Asparagine","171016_Smp_IL2DMBnoBT_2",769752.612903226
"303","Asparagine","171016_Smp_IL2DMBnoBT_3",449969.612903226
"304","Asparagine","171016_Smp_IL2DSW_1",211344.516129032
"305","Asparagine","171016_Smp_IL2DSW_2",221579.64516129
"306","Asparagine","171016_Smp_IL2DSW_3",343271.129032258
"307","Asparagine","171016_Smp_IL2noBT_1",316810.967741935
"308","Asparagine","171016_Smp_IL2noBT_2",630035.290322581
"309","Asparagine","171016_Smp_IL2noBT_3",184423.161290323
"310","Asparagine","171016_Smp_IL2WBT_1",126835.709677419
"311","Asparagine","171016_Smp_IL2WBT_2",24642.5161290323
"312","Asparagine","171016_Smp_IL2WBT_3",60650.2258064516
"313","Asparagine","171016_Smp_IL2IT0_1",127409.161290323
"314","Asparagine","171016_Smp_IL2IT0_2",117649.258064516
"315","Asparagine","171016_Smp_IL2IT0_3",73900.4193548387
"316","Aspartic acid","171016_Smp_IL2Control_1",123299.322405635
"317","Aspartic acid","171016_Smp_IL2Control_2",292105.411548966
"318","Aspartic acid","171016_Smp_IL2Control_3",490299.580176258
"319","Aspartic acid","171016_Smp_IL2DMB_1",689772.780884783
"320","Aspartic acid","171016_Smp_IL2DMB_2",386239.709754676
"321","Aspartic acid","171016_Smp_IL2DMB_3",386162.117067633
"322","Aspartic acid","171016_Smp_IL2DMBnoBT_1",819604.042954791
"323","Aspartic acid","171016_Smp_IL2DMBnoBT_2",1951694.54835358
"324","Aspartic acid","171016_Smp_IL2DMBnoBT_3",1251953.18845795
"325","Aspartic acid","171016_Smp_IL2DSW_1",732048.536482301
"326","Aspartic acid","171016_Smp_IL2DSW_2",762959.494242214
"327","Aspartic acid","171016_Smp_IL2DSW_3",698633.590837967
"328","Aspartic acid","171016_Smp_IL2noBT_1",1303554.04044633
"329","Aspartic acid","171016_Smp_IL2noBT_2",1702670.74409769
"330","Aspartic acid","171016_Smp_IL2noBT_3",752942.978282611
"331","Aspartic acid","171016_Smp_IL2WBT_1",240323.029834771
"332","Aspartic acid","171016_Smp_IL2WBT_2",428010.659317768
"333","Aspartic acid","171016_Smp_IL2WBT_3",365680.046338532
"334","Aspartic acid","171016_Smp_IL2IT0_1",837630.855722568
"335","Aspartic acid","171016_Smp_IL2IT0_2",1044591.00308918
"336","Aspartic acid","171016_Smp_IL2IT0_3",869229.230414849
"337","Betaine","171016_Smp_IL2Control_1",745680809.290323
"338","Betaine","171016_Smp_IL2Control_2",1200744229.16129
"339","Betaine","171016_Smp_IL2Control_3",1117768216.77419
"340","Betaine","171016_Smp_IL2DMB_1",1035222197.67742
"341","Betaine","171016_Smp_IL2DMB_2",1343352204.3871
"342","Betaine","171016_Smp_IL2DMB_3",1184374189.41935
"343","Betaine","171016_Smp_IL2DMBnoBT_1",2020801783.74194
"344","Betaine","171016_Smp_IL2DMBnoBT_2",2469769381.16129
"345","Betaine","171016_Smp_IL2DMBnoBT_3",2066420826.83871
"346","Betaine","171016_Smp_IL2DSW_1",1377718139.87097
"347","Betaine","171016_Smp_IL2DSW_2",1448874425.80645
"348","Betaine","171016_Smp_IL2DSW_3",1795834586.83871
"349","Betaine","171016_Smp_IL2noBT_1",2128136778.32258
"350","Betaine","171016_Smp_IL2noBT_2",2361498483.6129
"351","Betaine","171016_Smp_IL2noBT_3",1057115094.70968
"352","Betaine","171016_Smp_IL2WBT_1",1268106851.09677
"353","Betaine","171016_Smp_IL2WBT_2",1194615477.67742
"354","Betaine","171016_Smp_IL2WBT_3",1140819257.80645
"355","Betaine","171016_Smp_IL2IT0_1",988148230.193548
"356","Betaine","171016_Smp_IL2IT0_2",1076611237.16129
"357","Betaine","171016_Smp_IL2IT0_3",1082254674.58065
"358","Butyryl-L-carnitine","171016_Smp_IL2Control_1",619953.580645161
"359","Butyryl-L-carnitine","171016_Smp_IL2Control_2",470726.129032258
"360","Butyryl-L-carnitine","171016_Smp_IL2Control_3",544030.64516129
"361","Butyryl-L-carnitine","171016_Smp_IL2DMB_1",569000.580645161
"362","Butyryl-L-carnitine","171016_Smp_IL2DMB_2",530740.225806452
"363","Butyryl-L-carnitine","171016_Smp_IL2DMB_3",422323.258064516
"364","Butyryl-L-carnitine","171016_Smp_IL2DMBnoBT_1",716079.225806452
"365","Butyryl-L-carnitine","171016_Smp_IL2DMBnoBT_2",749654.677419355
"366","Butyryl-L-carnitine","171016_Smp_IL2DMBnoBT_3",582209.612903226
"367","Butyryl-L-carnitine","171016_Smp_IL2DSW_1",620280.064516129
"368","Butyryl-L-carnitine","171016_Smp_IL2DSW_2",493407.870967742
"369","Butyryl-L-carnitine","171016_Smp_IL2DSW_3",723863.387096774
"370","Butyryl-L-carnitine","171016_Smp_IL2noBT_1",751606.096774193
"371","Butyryl-L-carnitine","171016_Smp_IL2noBT_2",744053.935483871
"372","Butyryl-L-carnitine","171016_Smp_IL2noBT_3",597102.516129032
"373","Butyryl-L-carnitine","171016_Smp_IL2WBT_1",2174047.67741935
"374","Butyryl-L-carnitine","171016_Smp_IL2WBT_2",718724.774193548
"375","Butyryl-L-carnitine","171016_Smp_IL2WBT_3",618812.290322581
"376","Butyryl-L-carnitine","171016_Smp_IL2IT0_1",694602.387096774
"377","Butyryl-L-carnitine","171016_Smp_IL2IT0_2",462479.838709677
"378","Butyryl-L-carnitine","171016_Smp_IL2IT0_3",374342.290322581
"379","Carnitine","171016_Smp_IL2Control_1",31506337.1612903
"380","Carnitine","171016_Smp_IL2Control_2",48773120.516129
"381","Carnitine","171016_Smp_IL2Control_3",52099196
"382","Carnitine","171016_Smp_IL2DMB_1",47665556.2580645
"383","Carnitine","171016_Smp_IL2DMB_2",43857003.0967742
"384","Carnitine","171016_Smp_IL2DMB_3",54280590.9677419
"385","Carnitine","171016_Smp_IL2DMBnoBT_1",77841814.9677419
